state,district,month,risk_score,age_verification_decision,disaster_alert,kendra_action
Andhra Pradesh,rajanna sircilla,10,0.0049224426,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,rajanna sircilla,11,0.007853879,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,rajanna sircilla,12,0.873084,DEFER_VERIFICATION,WATCH,INCREASE_ADULT_CAPACITY
Andhra Pradesh,rangareddy,9,0.0017751246,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,rangareddy,10,0.002067242,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,rangareddy,12,0.0066956603,AGE_NOT_VERIFIED,WATCH,NORMAL_OPERATIONS
Andhra Pradesh,sangareddy,9,0.004894717,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sangareddy,11,0.0006953908,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,siddipet,9,0.0002582232,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,siddipet,10,0.007091649,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,siddipet,11,0.013028961,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,siddipet,12,0.73259205,AGE_NOT_VERIFIED,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,sri potti sriramulu nellore,9,0.00039563232,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri potti sriramulu nellore,10,0.104066476,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri potti sriramulu nellore,11,0.09547927,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri potti sriramulu nellore,12,0.0010982162,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri sathya sai,9,0.04725668,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri sathya sai,10,0.00048790732,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri sathya sai,11,0.010196078,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,sri sathya sai,12,0.09172462,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,srikakulam,9,0.09515454,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,srikakulam,10,0.9307754,DEFER_VERIFICATION,NORMAL,CHILD_UPDATE_CAMPS
Andhra Pradesh,srikakulam,11,0.00052027026,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,srikakulam,12,0.0018454917,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,suryapet,9,0.031177588,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,suryapet,10,0.0035475988,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,suryapet,11,0.35456726,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,suryapet,12,0.0007645954,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,tirupati,9,0.0026738388,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,tiruvallur,9,0.013349375,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,vikarabad,9,0.98393863,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
Andhra Pradesh,vikarabad,10,0.001714581,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,vikarabad,11,0.010041939,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,vikarabad,12,0.009031821,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,visakhapatnam,6,0.002274984,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,visakhapatnam,9,0.0037616664,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,visakhapatnam,10,0.0100122,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,visakhapatnam,11,0.009707794,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,visakhapatnam,12,0.6801068,AGE_VERIFIED_18_PLUS,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,vizianagaram,9,0.0019423242,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,vizianagaram,10,0.00041029335,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,vizianagaram,11,0.013029862,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
