state,district,month,risk_score,update_spike_ratio,disaster_alert
Andhra Pradesh,y s r,10,0.0008076525,0.9994997498749375,NORMAL
Andhra Pradesh,yadadri,9,0.27164945,0.0,NORMAL
Andhra Pradesh,yadadri,10,0.0002330445,0.0,NORMAL
Andhra Pradesh,yadadri,11,0.30003068,0.0,NORMAL
Andhra Pradesh,yadadri,12,0.00016083465,0.0,NORMAL
Arunachal Pradesh,anjaw,9,0.00056015654,1.12157721796276,NORMAL
Arunachal Pradesh,anjaw,10,0.005019121,0.5125958378970427,NORMAL
Arunachal Pradesh,anjaw,11,0.18475695,1.3844468784227821,NORMAL
Arunachal Pradesh,anjaw,12,0.043779634,0.963855421686747,NORMAL
Arunachal Pradesh,changlang,9,0.0040100724,1.6594924510118856,WATCH
Arunachal Pradesh,changlang,10,0.0010919367,0.4991969161580469,NORMAL
Arunachal Pradesh,changlang,11,0.0011929964,1.0407966591712174,NORMAL
Arunachal Pradesh,changlang,12,0.002394766,0.7979441053646,NORMAL
Arunachal Pradesh,dibang valley,9,0.0010825188,0.49025069637883006,NORMAL
Arunachal Pradesh,dibang valley,10,0.0004753153,0.479108635097493,NORMAL
Arunachal Pradesh,dibang valley,11,0.039822053,2.350974930362117,WATCH
Arunachal Pradesh,dibang valley,12,0.004246125,0.6350974930362117,NORMAL
Arunachal Pradesh,east kameng,9,0.0029253685,1.592433361994841,WATCH
Arunachal Pradesh,east kameng,10,0.0031051727,0.8426483233018057,NORMAL
Arunachal Pradesh,east kameng,11,0.09974655,1.0203496703926627,NORMAL
Arunachal Pradesh,east kameng,12,0.000900363,0.5399828030954428,NORMAL
Arunachal Pradesh,east siang,9,0.0013235305,1.0047678795483062,NORMAL
Arunachal Pradesh,east siang,10,0.009503772,0.8060225846925972,NORMAL
Arunachal Pradesh,east siang,11,0.6816255,1.1222082810539524,NORMAL
Arunachal Pradesh,east siang,12,0.0007016042,1.0629861982434128,NORMAL
Arunachal Pradesh,kamle,9,0.013660143,2.528735632183908,WATCH
Arunachal Pradesh,kamle,10,0.0012726343,0.29118773946360155,NORMAL
Arunachal Pradesh,kamle,11,0.010165828,0.9501915708812261,NORMAL
Arunachal Pradesh,kamle,12,0.004452793,0.1685823754789272,NORMAL
Arunachal Pradesh,kra daadi,9,0.0017603901,1.5931034482758621,WATCH
Arunachal Pradesh,kra daadi,10,0.00057973654,0.7655172413793103,NORMAL
Arunachal Pradesh,kra daadi,11,0.009873234,0.9724137931034482,NORMAL
Arunachal Pradesh,kra daadi,12,0.00041626146,0.6413793103448275,NORMAL
Arunachal Pradesh,lohit,9,0.11686288,0.9324406573341448,NORMAL
Arunachal Pradesh,lohit,10,0.00034770893,0.5757760194765672,NORMAL
Arunachal Pradesh,lohit,11,0.06908116,1.0919050517346318,NORMAL
Arunachal Pradesh,lohit,12,0.00080385874,1.3950091296409008,NORMAL
Arunachal Pradesh,longding,7,0.57938904,0.7387289516567084,NORMAL
Arunachal Pradesh,longding,9,0.012620885,1.6757197175448126,WATCH
Arunachal Pradesh,longding,10,0.03991027,0.6545355784899511,NORMAL
Arunachal Pradesh,longding,11,0.0016963813,1.0863661053775122,NORMAL
Arunachal Pradesh,longding,12,0.0010554504,0.8310700706137969,NORMAL
Arunachal Pradesh,lower dibang valley,9,0.0020705136,0.8818713450292398,NORMAL
Arunachal Pradesh,lower dibang valley,10,0.27191907,1.0058479532163742,NORMAL
Arunachal Pradesh,lower dibang valley,11,0.032820642,1.2093567251461987,NORMAL
Arunachal Pradesh,lower dibang valley,12,0.0041143447,0.8935672514619883,NORMAL
Arunachal Pradesh,lower siang,9,0.25224945,1.6610169491525424,WATCH
Arunachal Pradesh,lower siang,10,0.046878673,0.7457627118644068,NORMAL
Arunachal Pradesh,lower siang,11,0.047312304,0.847457627118644,NORMAL
Arunachal Pradesh,lower siang,12,0.018650537,0.7005649717514124,NORMAL
Arunachal Pradesh,lower subansiri,9,0.0049456153,1.3076923076923077,NORMAL
Arunachal Pradesh,lower subansiri,10,0.014866192,1.158004158004158,NORMAL
Arunachal Pradesh,lower subansiri,11,0.010038338,0.8814968814968815,NORMAL
Arunachal Pradesh,lower subansiri,12,0.0006129754,0.6444906444906445,NORMAL
Arunachal Pradesh,namsai,9,0.06877196,1.2799636115533317,NORMAL
Arunachal Pradesh,namsai,10,0.006895529,0.4221059813509211,NORMAL
Arunachal Pradesh,namsai,11,0.0010072327,1.1389583807141233,NORMAL
Arunachal Pradesh,namsai,12,0.00026268,1.1553331817148056,NORMAL
Arunachal Pradesh,papum pare,9,0.4704586,1.3434856175972927,NORMAL
Arunachal Pradesh,papum pare,10,0.015807906,0.8622673434856176,NORMAL
Arunachal Pradesh,papum pare,11,0.00057606876,0.8954314720812183,NORMAL
Arunachal Pradesh,papum pare,12,0.03642624,0.896108291032149,NORMAL
Arunachal Pradesh,shi yomi,9,0.02254884,0.3858267716535433,NORMAL
Arunachal Pradesh,shi yomi,10,0.0015695214,0.33070866141732286,NORMAL
Arunachal Pradesh,shi yomi,11,0.19275059,2.440944881889764,WATCH
Arunachal Pradesh,shi yomi,12,0.021261632,0.8110236220472441,NORMAL
Arunachal Pradesh,tawang,9,0.07989059,0.7450980392156863,NORMAL
Arunachal Pradesh,tawang,10,0.0008365234,1.1392156862745098,NORMAL
Arunachal Pradesh,tawang,11,0.00025716724,1.0568627450980392,NORMAL
Arunachal Pradesh,tawang,12,0.0017907557,1.0509803921568628,NORMAL
Arunachal Pradesh,tirap,9,0.0074714813,0.9488972565895643,NORMAL
Arunachal Pradesh,tirap,10,0.01498803,1.2910166756320602,NORMAL
Arunachal Pradesh,tirap,11,0.012743899,1.0306616460462614,NORMAL
Arunachal Pradesh,tirap,12,0.08194401,0.7208176438945669,NORMAL
Arunachal Pradesh,upper siang,9,0.00094367366,1.1692977681001633,NORMAL
Arunachal Pradesh,upper siang,10,0.8863769,0.829613500272183,NORMAL
Arunachal Pradesh,upper siang,11,0.00052245735,0.753402286336418,NORMAL
Arunachal Pradesh,upper siang,12,0.039629783,1.2389765922700053,NORMAL
Arunachal Pradesh,upper subansiri,9,0.0017107168,1.072477498815727,NORMAL
Arunachal Pradesh,upper subansiri,10,0.05014183,0.7863571766935101,NORMAL
Arunachal Pradesh,upper subansiri,11,0.318869,1.2278540975840835,NORMAL
Arunachal Pradesh,upper subansiri,12,0.31521302,0.9057318806252961,NORMAL
Arunachal Pradesh,west kameng,7,0.006182888,0.6853163938431468,NORMAL
Arunachal Pradesh,west kameng,9,0.0031126433,1.0921084778890788,NORMAL
Arunachal Pradesh,west kameng,10,0.97261107,0.8025897874419741,NORMAL
Arunachal Pradesh,west kameng,11,0.13341899,0.9003176154409968,NORMAL
Arunachal Pradesh,west kameng,12,0.0055010244,1.5135597361348643,WATCH
Arunachal Pradesh,west siang,9,0.006507953,1.2695429303716361,NORMAL
Arunachal Pradesh,west siang,10,0.019363303,0.6774882528833832,NORMAL
Arunachal Pradesh,west siang,11,0.0033426369,1.4318667236223837,NORMAL
Arunachal Pradesh,west siang,12,0.02352979,0.617684750106792,NORMAL
Assam,baksa,4,0.15087208,1.0401605185985492,NORMAL
Assam,baksa,5,0.0008726032,0.7203580799506096,NORMAL
Assam,baksa,6,0.0012134636,0.3936409939805526,NORMAL
Assam,baksa,7,0.008843663,0.4378453465040901,NORMAL
Assam,baksa,9,0.0007701027,0.9394042290476925,NORMAL
Assam,baksa,10,0.005457292,1.231301126717086,NORMAL
Assam,baksa,11,0.002500117,1.296496372897052,NORMAL
Assam,baksa,12,0.00050304085,1.938817718783763,WATCH
Assam,barpeta,4,0.0028414542,0.7721993763839305,NORMAL
Assam,barpeta,5,0.001126831,0.6624429481675629,NORMAL
Assam,barpeta,6,0.0052078683,0.5092322292015002,NORMAL
Assam,barpeta,7,0.04392048,0.6372813954539293,NORMAL
Assam,barpeta,9,0.11781744,1.2945908084414117,NORMAL
Assam,barpeta,10,0.0024920364,1.4339192914275385,NORMAL
Assam,barpeta,11,0.010163175,1.2366035519002214,NORMAL
Assam,barpeta,12,0.0060076974,1.4531519725247413,NORMAL
Assam,biswanath,4,0.012920327,0.5795262267343485,NORMAL
Assam,biswanath,9,0.0005098556,1.1052145823719428,NORMAL
Assam,biswanath,10,0.009797033,1.0090755268420242,NORMAL
Assam,biswanath,11,0.00057696964,0.9183202584217812,NORMAL
Assam,biswanath,12,0.0031073834,1.3859406245193047,NORMAL
Assam,bongaigaon,3,0.85084087,1.3350871423873725,NORMAL
Assam,bongaigaon,4,0.6297514,1.0732150801787337,NORMAL
Assam,bongaigaon,5,0.24879049,0.4089212139969437,NORMAL
Assam,bongaigaon,9,0.005905728,0.9081571464495037,NORMAL
Assam,bongaigaon,10,0.0012138747,1.1072015784281486,NORMAL
Assam,bongaigaon,11,0.00022297117,0.9441747103313538,NORMAL
